experiment,layer,metric,value,ci_low,ci_high,n_images,interpretation
brightness,model.2.eca,dark_expected_direction_fraction,1.0,1.0,1.0,24,受控光度诊断
brightness,model.2.eca,bright_expected_direction_fraction,1.0,1.0,1.0,24,受控光度诊断
brightness,model.2.eca,dark_w_bri_increase_fraction,0.0,0.0,0.0,24,受控光度诊断
brightness,model.2.eca,bright_w_bri_decrease_fraction,0.0,0.0,0.0,24,受控光度诊断
brightness,model.2.eca,mean_abs_corr_change_global_dark,0.004344681898752849,0.003490802242110173,0.005166217250128586,24,受控光度诊断
brightness,model.2.eca,mean_abs_corr_change_radial_equal_mean,0.0005072839558124542,0.00038409121334552764,0.0006603049424787361,24,受控光度诊断
brightness,model.2.eca,mean_abs_corr_change_linear_equal_mean,0.0005356048544247946,0.00036048172041773795,0.0007100604164103666,24,受控光度诊断
brightness,model.2.eca,mean_abs_corr_change_local_highlight_equal_mean,0.00014758234222730002,0.00010488800083597501,0.0001981965887049834,24,受控光度诊断
brightness,model.2.eca,local_highlight_variance_increase_fraction,0.7916666666666666,0.625,0.9583333333333334,24,受控光度诊断
brightness,model.2.eca,local_highlight_w_sup_decrease_fraction,0.7916666666666666,0.625,0.9583333333333334,24,受控光度诊断
brightness,model.2.eca,mean_local_highlight_variance_change,0.008744339148203531,0.004760658803085486,0.012657194087902699,24,受控光度诊断
brightness,model.2.eca,mean_local_highlight_w_sup_change,-0.00033247222503026325,-0.00048297432561715444,-0.00018119495362043395,24,受控光度诊断
brightness,model.2.eca,equal_mean_gray_error,4.044910895594407e-06,1.3583750865691746e-06,8.182711326659437e-06,72,受控光度诊断
learned_scalar,model.2.eca,learned_alpha,0.0017871856689453125,0.0017871856689453125,0.0017871856689453125,24,训练后标量；符号决定该层校准方向
learned_scalar,model.2.eca,learned_beta,0.057098388671875,0.057098388671875,0.057098388671875,24,训练后标量；符号决定该层校准方向
learned_scalar,model.2.eca,learned_gamma,-0.010223388671875,-0.010223388671875,-0.010223388671875,24,训练后标量；符号决定该层校准方向
brightness,model.4.eca,natural_spearman_gray_vs_corr,-0.6982608695652174,-0.7975679228746714,-0.4602456476777465,24,自然样本中像素灰度与深层 corr 的关联
brightness,model.4.eca,dark_expected_direction_fraction,1.0,1.0,1.0,24,受控光度诊断
brightness,model.4.eca,bright_expected_direction_fraction,1.0,1.0,1.0,24,受控光度诊断
brightness,model.4.eca,dark_w_bri_increase_fraction,1.0,1.0,1.0,24,受控光度诊断
brightness,model.4.eca,bright_w_bri_decrease_fraction,1.0,1.0,1.0,24,受控光度诊断
brightness,model.4.eca,mean_abs_corr_change_global_dark,0.0005862563848495483,0.00048016700893640515,0.0007002718746662138,24,受控光度诊断
brightness,model.4.eca,mean_abs_corr_change_radial_equal_mean,0.00011785328388214111,8.758126447598139e-05,0.00015153661370277398,24,受控光度诊断
brightness,model.4.eca,mean_abs_corr_change_linear_equal_mean,5.438427130381266e-05,3.2362776497999823e-05,7.643184314171473e-05,24,受控光度诊断
brightness,model.4.eca,mean_abs_corr_change_local_highlight_equal_mean,3.815690676371256e-05,2.858247607946396e-05,4.821314165989558e-05,24,受控光度诊断
brightness,model.4.eca,local_highlight_variance_increase_fraction,0.7083333333333334,0.5416666666666666,0.875,24,受控光度诊断
brightness,model.4.eca,local_highlight_w_sup_decrease_fraction,0.7083333333333334,0.5416666666666666,0.875,24,受控光度诊断
brightness,model.4.eca,mean_local_highlight_variance_change,9.994332989056905e-05,-2.1800631657242756e-06,0.0001944903361921509,24,受控光度诊断
brightness,model.4.eca,mean_local_highlight_w_sup_change,-1.6142924626668295e-07,-3.1795352697372434e-07,4.967053731282552e-09,24,受控光度诊断
brightness,model.4.eca,equal_mean_gray_error,4.044910895594407e-06,1.3583750865691746e-06,8.182711326659437e-06,72,受控光度诊断
learned_scalar,model.4.eca,learned_alpha,0.059234619140625,0.059234619140625,0.059234619140625,24,训练后标量；符号决定该层校准方向
learned_scalar,model.4.eca,learned_beta,0.0032482147216796875,0.0032482147216796875,0.0032482147216796875,24,训练后标量；符号决定该层校准方向
learned_scalar,model.4.eca,learned_gamma,0.04840087890625,0.04840087890625,0.04840087890625,24,训练后标量；符号决定该层校准方向
brightness,model.6.eca,natural_spearman_gray_vs_corr,-0.3008695652173913,-0.5773227460730417,0.07085367626418548,24,自然样本中像素灰度与深层 corr 的关联
brightness,model.6.eca,dark_expected_direction_fraction,0.9166666666666666,0.7916666666666666,1.0,24,受控光度诊断
brightness,model.6.eca,bright_expected_direction_fraction,0.9166666666666666,0.7916666666666666,1.0,24,受控光度诊断
brightness,model.6.eca,dark_w_bri_increase_fraction,0.9166666666666666,0.7916666666666666,1.0,24,受控光度诊断
brightness,model.6.eca,bright_w_bri_decrease_fraction,0.9166666666666666,0.7916666666666666,1.0,24,受控光度诊断
brightness,model.6.eca,mean_abs_corr_change_global_dark,0.0007506472369035085,0.0005023808839420478,0.0010148626131316026,24,受控光度诊断
brightness,model.6.eca,mean_abs_corr_change_radial_equal_mean,0.00011893485983212788,8.308241764704386e-05,0.00016090298692385355,24,受控光度诊断
brightness,model.6.eca,mean_abs_corr_change_linear_equal_mean,0.00013949225346247354,9.804461151361466e-05,0.00018581226468086242,24,受控光度诊断
brightness,model.6.eca,mean_abs_corr_change_local_highlight_equal_mean,0.000127955029408137,0.00010071427871783574,0.00015509047855933507,24,受控光度诊断
brightness,model.6.eca,local_highlight_variance_increase_fraction,0.6666666666666666,0.5,0.8333333333333334,24,受控光度诊断
brightness,model.6.eca,local_highlight_w_sup_decrease_fraction,0.3333333333333333,0.16666666666666666,0.5,24,受控光度诊断
brightness,model.6.eca,mean_local_highlight_variance_change,0.00022736905763546625,-9.613502770662307e-05,0.0005358337502305706,24,受控光度诊断
brightness,model.6.eca,mean_local_highlight_w_sup_change,1.2715657552083333e-06,-8.097539345423381e-07,3.248453140258789e-06,24,受控光度诊断
brightness,model.6.eca,equal_mean_gray_error,4.044910895594407e-06,1.3583750865691746e-06,8.182711326659437e-06,72,受控光度诊断
learned_scalar,model.6.eca,learned_alpha,0.06927490234375,0.06927490234375,0.06927490234375,24,训练后标量；符号决定该层校准方向
learned_scalar,model.6.eca,learned_beta,-0.0113067626953125,-0.0113067626953125,-0.0113067626953125,24,训练后标量；符号决定该层校准方向
learned_scalar,model.6.eca,learned_gamma,0.06182861328125,0.06182861328125,0.06182861328125,24,训练后标量；符号决定该层校准方向
brightness,model.8.eca,natural_spearman_gray_vs_corr,-0.4765217391304347,-0.7527331494273926,-0.10095644052980961,24,自然样本中像素灰度与深层 corr 的关联
brightness,model.8.eca,dark_expected_direction_fraction,0.875,0.75,1.0,24,受控光度诊断
brightness,model.8.eca,bright_expected_direction_fraction,0.7916666666666666,0.625,0.9583333333333334,24,受控光度诊断
brightness,model.8.eca,dark_w_bri_increase_fraction,0.875,0.75,1.0,24,受控光度诊断
brightness,model.8.eca,bright_w_bri_decrease_fraction,0.7916666666666666,0.625,0.9583333333333334,24,受控光度诊断
brightness,model.8.eca,mean_abs_corr_change_global_dark,0.0019502279659112294,0.0015840635014077028,0.0023285767684380213,24,受控光度诊断
brightness,model.8.eca,mean_abs_corr_change_radial_equal_mean,0.00045647968848546344,0.00030857964108387627,0.0006268036551773545,24,受控光度诊断
brightness,model.8.eca,mean_abs_corr_change_linear_equal_mean,0.00036590173840522766,0.00021568117663264274,0.0005434903937081492,24,受控光度诊断
