layer,stage,factor,alpha,beta,gamma,n_images,count,mean,std,p05,p50,p95,min,max,status
model.6.eca,Backbone,w_eca,0.06927490234375,-0.0113067626953125,0.06182861328125,146,18688,0.516261031238796,0.05169443198615714,0.4334235340356827,0.5147376358509064,0.5980358570814133,0.3413105607032776,0.7170611023902893,Hard_Test_aggregate_from_seed42_best_checkpoint
model.6.eca,Backbone,w_sup,0.06927490234375,-0.0113067626953125,0.06182861328125,146,18688,1.0086642863190645,0.0006378160271481915,1.0079740285873413,1.0085315704345703,1.0097986996173858,1.0079114437103271,1.0152223110198975,Hard_Test_aggregate_from_seed42_best_checkpoint
model.6.eca,Backbone,w_rec,0.06927490234375,-0.0113067626953125,0.06182861328125,146,18688,1.033204144256011,0.004749815438033923,1.0236494958400726,1.0346620678901672,1.0381897270679474,1.0140188932418823,1.038797378540039,Hard_Test_aggregate_from_seed42_best_checkpoint
model.6.eca,Backbone,w_bri,0.06927490234375,-0.0113067626953125,0.06182861328125,146,146,1.0295714507364246,0.00010498921109160549,1.0293964445590973,1.0295867323875427,1.0297357439994812,1.029238224029541,1.0298702716827393,Hard_Test_aggregate_from_seed42_best_checkpoint
model.6.eca,Backbone,w_stat,0.06927490234375,-0.0113067626953125,0.06182861328125,146,18688,1.0729726374672395,0.00463487081942786,1.0633777379989624,1.074543535709381,1.0775658667087555,1.0534405708312988,1.0802184343338013,Hard_Test_aggregate_from_seed42_best_checkpoint
model.6.eca,Backbone,w_final,0.06927490234375,-0.0113067626953125,0.06182861328125,146,18688,0.5538078608606903,0.054147350050081304,0.46601465046405793,0.5525052547454834,0.6379678905010222,0.3677479326725006,0.7563536167144775,Hard_Test_aggregate_from_seed42_best_checkpoint
model.8.eca,Backbone,corr,-0.00644683837890625,0.067138671875,0.0408935546875,146,146,0.4672580473635295,0.002207498354527377,0.4629356786608696,0.46739913523197174,0.4707518666982651,0.4600284993648529,0.4730357527732849,Hard_Test_aggregate_from_seed42_best_checkpoint
model.8.eca,Backbone,w_eca,-0.00644683837890625,0.067138671875,0.0408935546875,146,37376,0.5079950715697447,0.0581484192520028,0.42370957881212234,0.5041376650333405,0.605798527598381,0.2865360379219055,0.8283088207244873,Hard_Test_aggregate_from_seed42_best_checkpoint
model.8.eca,Backbone,w_sup,-0.00644683837890625,0.067138671875,0.0408935546875,146,37376,0.9451702172255577,0.015183492766185464,0.9206310659646988,0.9497465789318085,0.9551921933889389,0.7123759984970093,0.9554929733276367,Hard_Test_aggregate_from_seed42_best_checkpoint
model.8.eca,Backbone,w_rec,-0.00644683837890625,0.067138671875,0.0408935546875,146,37376,0.9969651552669908,0.0005534999530699685,0.9964595884084702,0.9967818856239319,0.9981700479984283,0.9963743090629578,0.9997636079788208,Hard_Test_aggregate_from_seed42_best_checkpoint
model.8.eca,Backbone,w_bri,-0.00644683837890625,0.067138671875,0.0408935546875,146,146,1.0191078430985752,9.027059171925397e-05,1.0189310610294342,1.0191136002540588,1.0192506909370422,1.0188121795654297,1.0193440914154053,Hard_Test_aggregate_from_seed42_best_checkpoint
